,uuid,id,bezeichnung,website,standort_id,-7,-6,-5,-4,-3,-2,-1,datum
0,290ef568-9a7f-11e5-948b-0050569b7e95,100005395,Am Strande/Holzhalbinsel,https://www.eco-public.com/public2/?id=100005395,100005395,554.0,845.0,1082.0,851.0,788.0,374.0,195.0,01.02.2026
1,290d71fc-9a7f-11e5-948a-0050569b7e95,100034887,Hundertmännerstraße,https://www.eco-public.com/public2/?id=100034887,100034887,842.0,1020.0,1240.0,1213.0,996.0,451.0,355.0,01.02.2026
2,1735a76e-9150-11e7-99bd-0050569946ac,100037011,Markgrafenheide,https://www.eco-public.com/public2/?id=100037011,100037011,2.0,5.0,0.0,20.0,3.0,1.0,0.0,01.02.2026
3,cc171afa-9150-11e7-99be-0050569946ac,100037010,Hinrichshagen,https://www.eco-public.com/public2/?id=100037010,100037010,2.0,5.0,0.0,18.0,4.0,1.0,0.0,01.02.2026
4,291473d0-9a7f-11e5-9490-0050569b7e95,100037012,Graal-Müritz,https://www.eco-public.com/public2/?id=100037012,100037012,0.0,0.0,0.0,2.0,4.0,1.0,0.0,01.02.2026
5,29137f48-9a7f-11e5-948e-0050569b7e95,100005392,Hamburger Straße/Liningweg,https://www.eco-public.com/public2/?id=100005392,100005392,107.0,112.0,154.0,150.0,118.0,95.0,31.0,01.02.2026
6,7b921cb8-8f93-4afe-aae1-8dc24cae353e,100056900,Uni-Campus,https://www.eco-public.com/public2/?id=100056900,100056900,177.0,157.0,156.0,191.0,138.0,80.0,37.0,01.02.2026
7,290b9422-9a7f-11e5-9489-0050569b7e95,100011605,Mühlendamm/Flussbad,https://www.eco-public.com/public2/?id=100011605,100011605,357.0,482.0,617.0,640.0,540.0,296.0,146.0,01.02.2026
8,2913fbe4-9a7f-11e5-948f-0050569b7e95,100017341,Warnemünde Wetterwarte,https://www.eco-public.com/public2/?id=100017341,100017341,84.0,92.0,126.0,133.0,122.0,108.0,72.0,01.02.2026
9,29120528-9a7f-11e5-948d-0050569b7e95,100005393,Hamburger Straße/Braesigplatz,https://www.eco-public.com/public2/?id=100005393,100005393,192.0,231.0,294.0,278.0,233.0,145.0,62.0,01.02.2026
10,291079c4-9a7f-11e5-948c-0050569b7e95,100005394,Lange Straße Süd,https://www.eco-public.com/public2/?id=100005394,100005394,321.0,364.0,470.0,431.0,402.0,199.0,83.0,01.02.2026
